"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,13,148,0,0,52
15,3,53,5,15,16,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,133,0,20,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,11,21,46,10,17,0,0,0,29,0,2,3,3,0,0,0,0,6,0,0
0,0,0,23,11,26,87,5,0,0,0,0,0,0,0,0,0,1,0,0,6,13
0,1,53,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,11,0,0,21,68,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,71,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,37,6,50,1,39,20
26,0,0,0,0,0,0,0,101,21,79,0,0,13,3,0,0,0,0,0,0,0
0,51,24,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,0,45,0,5,0,3,0,3,0,0,0,0,3,0,13,39,0,0,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,73,64,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0
0,16,0,49,21,0,0,12,0,7,0,0,0,0,25,12,7,0,0,0,0,2
0,64,0,0,0,0,10,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,28,63
0,15,74,0,14,0,2,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,131,0,0,1,0,0,0,0,0,0,0
1,16,2,0,0,19,11,2,0,2,0,0,0,150,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,12,0,9,0,12,0,0,18,0,0,4,0,0,43,38
0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,2,9,1,5,0,20,0,0,0,10,2,11,31,0,5,47,4,3
0,4,1,0,0,0,7,0,0,0,0,0,0,0,0,4,23,0,0,66,0,39
29,20,0,0,40,0,21,20,0,0,0,0,0,0,0,25,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,40,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,137,0
4,0,4,13,4,4,5,3,4,5,19,13,5,0,2,6,0,3,0,45,13,8
15,22,2,6,2,40,18,35,0,7,0,0,3,2,0,0,0,0,0,0,0,0
2,0,0,0,7,0,0,62,0,5,1,1,0,23,22,0,1,0,0,0,0,0
